UDI,Product_ID,Type,Air_temperature_K,Process_temperature_K,Rotational_speed_rpm,Torque_Nm,Tool_wear_min,label,Power_kw,Combined_Energy,Temp_Delta,High_Temp_Flag,Wear_x_Torque,Stress_Index,Torque_per_Wear,Speed_x_Temp,Torque_sq,Speed_sq,Temp_Squared,Log_Tool_Wear,Wear_Bin
73,L47252,L,298.9,309.1,1369,44.4,198,0,60.7836,12035.1528,10.200000000000045,0,8791.199999999999,271062,0.22311557788944722,423157.9,1971.36,1874161,95542.81000000001,5.293304824724492,3
74,L47253,L,299.0,309.1,1592,35.0,200,0,55.72,11144.0,10.100000000000023,0,7000.0,318400,0.17412935323383086,492087.2,1225.0,2534464,95542.81000000001,5.303304908059076,3
75,L47254,L,298.9,309.0,1601,32.3,202,0,51.7123,10445.8846,10.100000000000023,0,6524.599999999999,323402,0.15911330049261083,494709.0,1043.2899999999997,2563201,95481.0,5.313205979041787,3
76,L47255,L,298.8,308.9,1379,46.7,204,0,64.3993,13137.457199999999,10.099999999999966,0,9526.800000000001,281316,0.2278048780487805,425973.1,2180.8900000000003,1901641,95419.20999999999,5.3230099791384085,3
77,L47256,L,298.8,308.9,1461,47.9,206,0,69.9819,14416.2714,10.099999999999966,0,9867.4,300966,0.23140096618357486,451302.89999999997,2294.41,2134521,95419.20999999999,5.332718793265369,3
78,L47257,L,298.8,308.9,1455,41.3,208,1,60.09149999999999,12499.031999999997,10.099999999999966,0,8590.4,302640,0.19760765550239234,449449.49999999994,1705.6899999999998,2117025,95419.20999999999,5.342334251964811,3
79,L47258,L,298.8,308.9,1398,51.5,0,0,71.997,0.0,10.099999999999966,0,0.0,0,51.5,431842.19999999995,2652.25,1954404,95419.20999999999,0.0,0
80,L47259,L,298.8,308.9,1402,37.9,2,0,53.135799999999996,106.27159999999999,10.099999999999966,0,75.8,2804,12.633333333333333,433077.8,1436.4099999999999,1965604,95419.20999999999,1.0986122886681098,0
81,H29494,H,298.8,308.8,1445,49.9,4,0,72.1055,288.422,10.0,0,199.6,5780,9.98,446216.0,2490.0099999999998,2088025,95357.44,1.6094379124341003,0
82,L47261,L,298.9,308.9,1450,47.5,9,0,68.875,619.875,10.0,0,427.5,13050,4.75,447904.99999999994,2256.25,2102500,95419.20999999999,2.302585092994046,0
83,L47262,L,298.9,308.9,1453,40.8,11,0,59.282399999999996,652.1063999999999,10.0,0,448.79999999999995,15983,3.4,448831.69999999995,1664.6399999999999,2111209,95419.20999999999,2.4849066497880004,0
84,L47263,L,299.0,309.0,1469,40.1,13,0,58.9069,765.7897,10.0,0,521.3000000000001,19097,2.8642857142857143,453921.0,1608.0100000000002,2157961,95481.0,2.6390573296152584,0
85,L47264,L,298.9,308.9,1422,47.6,15,0,67.68719999999999,1015.3079999999999,10.0,0,714.0,21330,2.975,439255.8,2265.76,2022084,95419.20999999999,2.772588722239781,0
86,M14945,M,299.0,309.0,1804,26.8,17,0,48.3472,821.9024000000001,10.0,0,455.6,30668,1.488888888888889,557436.0,718.24,3254416,95481.0,2.8903717578961645,0
87,H29500,H,299.0,309.0,1436,43.9,20,0,63.0404,1260.808,10.0,0,878.0,28720,2.0904761904761906,443724.0,1927.2099999999998,2062096,95481.0,3.044522437723423,0
88,L47267,L,299.0,309.0,1544,31.8,25,0,49.0992,1227.48,10.0,0,795.0,38600,1.2230769230769232,477096.0,1011.24,2383936,95481.0,3.258096538021482,0
89,M14948,M,299.0,309.0,1419,45.2,27,0,64.1388,1731.7476000000001,10.0,0,1220.4,38313,1.6142857142857143,438471.0,2043.0400000000002,2013561,95481.0,3.332204510175204,0
90,M14949,M,298.9,308.9,1487,39.5,30,0,58.7365,1762.095,10.0,0,1185.0,44610,1.2741935483870968,459334.3,1560.25,2211169,95419.20999999999,3.4339872044851463,0
91,L47270,L,298.9,308.9,1753,25.8,33,0,45.2274,1492.5042,10.0,0,851.4,57849,0.7588235294117647,541501.7,665.64,3073009,95419.20999999999,3.5263605246161616,0
92,L47271,L,298.9,308.9,1830,24.9,35,0,45.567,1594.845,10.0,0,871.5,64050,0.6916666666666667,565287.0,620.0099999999999,3348900,95419.20999999999,3.58351893845611,0
93,M14952,M,298.9,308.9,1727,27.1,37,0,46.801700000000004,1731.6629,10.0,0,1002.7,63899,0.7131578947368421,533470.2999999999,734.4100000000001,2982529,95419.20999999999,3.6375861597263857,0
94,L47273,L,299.1,309.0,1450,43.0,40,0,62.35,2494.0,9.899999999999977,0,1720.0,58000,1.048780487804878,448050.0,1849.0,2102500,95481.0,3.713572066704308,0
95,L47274,L,299.0,308.9,1622,31.9,42,0,51.7418,2173.1556,9.899999999999977,0,1339.8,68124,0.741860465116279,501035.8,1017.6099999999999,2630884,95419.20999999999,3.7612001156935624,0
96,M14955,M,299.0,309.0,1351,52.2,44,0,70.5222,3102.9768,10.0,0,2296.8,59444,1.1600000000000001,417459.0,2724.84,1825201,95481.0,3.8066624897703196,0
97,M14956,M,299.0,309.0,1575,35.3,47,0,55.59749999999999,2613.0824999999995,10.0,0,1659.1,74025,0.7354166666666666,486675.0,1246.0899999999997,2480625,95481.0,3.871201010907891,0
98,M14957,M,298.9,308.9,1750,29.9,50,0,52.325,2616.25,10.0,0,1495.0,87500,0.5862745098039216,540575.0,894.0099999999999,3062500,95419.20999999999,3.9318256327243257,0
99,L47278,L,298.9,308.8,1529,32.7,53,0,49.9983,2649.9099,9.900000000000034,0,1733.1000000000001,81037,0.6055555555555556,472155.2,1069.2900000000002,2337841,95357.44,3.9889840465642745,0
100,L47279,L,298.8,308.8,1523,44.4,55,0,67.6212,3719.166,10.0,0,2442.0,83765,0.7928571428571428,470302.4,1971.36,2319529,95357.44,4.02535169073515,1
101,L47280,L,298.8,308.9,1852,25.0,57,0,46.3,2639.1,10.099999999999966,0,1425.0,105564,0.43103448275862066,572082.7999999999,625.0,3429904,95419.20999999999,4.060443010546419,1
102,L47281,L,298.8,308.8,1991,20.7,59,0,41.213699999999996,2431.6083,10.0,0,1221.3,117469,0.345,614820.8,428.48999999999995,3964081,95357.44,4.0943445622221,1
103,L47282,L,298.8,308.8,1555,40.6,61,0,63.133,3851.1130000000003,10.0,0,2476.6,94855,0.6548387096774194,480184.0,1648.3600000000001,2418025,95357.44,4.127134385045092,1
104,M14963,M,298.8,308.8,1441,40.5,63,0,58.3605,3676.7115000000003,10.0,0,2551.5,90783,0.6328125,444980.8,1640.25,2076481,95357.44,4.1588830833596715,1
105,L47284,L,298.8,308.7,1450,43.4,66,0,62.93,4153.38,9.899999999999977,0,2864.4,95700,0.6477611940298508,447615.0,1883.56,2102500,95295.68999999999,4.204692619390966,1
106,L47285,L,298.8,308.7,1591,31.1,68,0,49.48010000000001,3364.6468000000004,9.899999999999977,0,2114.8,108188,0.45072463768115945,491141.69999999995,967.21,2531281,95295.68999999999,4.23410650459726,1
107,L47286,L,298.8,308.7,1445,48.5,70,0,70.0825,4905.775,9.899999999999977,0,3395.0,101150,0.6830985915492958,446071.5,2352.25,2088025,95295.68999999999,4.2626798770413155,1
108,M14967,M,298.8,308.8,1497,46.8,72,0,70.05959999999999,5044.2912,10.0,0,3369.6,107784,0.6410958904109588,462273.60000000003,2190.24,2241009,95357.44,4.290459441148391,1
109,H29522,H,298.9,308.8,1621,32.7,75,0,53.0067,3975.5025,9.900000000000034,0,2452.5,121575,0.4302631578947369,500564.80000000005,1069.2900000000002,2627641,95357.44,4.330733340286331,1
110,L47289,L,298.9,308.7,1572,34.1,80,0,53.6052,4288.416,9.800000000000011,0,2728.0,125760,0.42098765432098767,485276.39999999997,1162.8100000000002,2471184,95295.68999999999,4.394449154672439,1
111,L47290,L,298.8,308.6,1872,22.5,82,0,42.12,3453.8399999999997,9.800000000000011,0,1845.0,153504,0.2710843373493976,577699.2000000001,506.25,3504384,95233.96000000002,4.418840607796598,1
112,H29525,H,298.7,308.6,1499,43.5,84,0,65.2065,5477.3460000000005,9.900000000000034,0,3654.0,125916,0.5117647058823529,462591.4,1892.25,2247001,95233.96000000002,4.442651256490317,1
113,M14972,M,298.8,308.7,1498,39.5,89,0,59.171,5266.219,9.899999999999977,0,3515.5,133322,0.4388888888888889,462432.6,1560.25,2244004,95295.68999999999,4.499809670330265,1
114,M14973,M,298.8,308.6,1486,41.9,92,0,62.263400000000004,5728.232800000001,9.800000000000011,0,3854.7999999999997,136712,0.4505376344086021,458579.60000000003,1755.61,2208196,95233.96000000002,4.532599493153256,1
115,L47294,L,298.8,308.6,1680,29.4,95,0,49.392,4692.240000000001,9.800000000000011,0,2793.0,159600,0.30624999999999997,518448.00000000006,864.3599999999999,2822400,95233.96000000002,4.564348191467836,1
116,L47295,L,298.8,308.6,1431,45.7,97,0,65.39670000000001,6343.479900000001,9.800000000000011,0,4432.900000000001,138807,0.46632653061224494,441606.60000000003,2088.4900000000002,2047761,95233.96000000002,4.584967478670572,1
117,L47296,L,298.9,308.7,1564,34.1,99,0,53.3324,5279.9076,9.800000000000011,0,3375.9,154836,0.341,482806.8,1162.8100000000002,2446096,95295.68999999999,4.605170185988092,1
118,L47297,L,298.8,308.6,1599,33.0,101,0,52.767,5329.467000000001,9.800000000000011,0,3333.0,161499,0.3235294117647059,493451.4,1089.0,2556801,95233.96000000002,4.624972813284271,1
119,M14978,M,298.8,308.6,1707,28.1,103,0,47.9667,4940.5701,9.800000000000011,0,2894.3,175821,0.27019230769230773,526780.2000000001,789.6100000000001,2913849,95233.96000000002,4.6443908991413725,1
120,L47299,L,298.7,308.5,1467,40.7,106,0,59.706900000000005,6328.9314,9.800000000000011,0,4314.200000000001,155502,0.38037383177570094,452569.5,1656.4900000000002,2152089,95172.25,4.672828834461906,1
121,L47300,L,298.9,308.7,1433,44.7,108,0,64.05510000000001,6917.950800000001,9.800000000000011,0,4827.6,154764,0.4100917431192661,442367.1,1998.0900000000001,2053489,95295.68999999999,4.6913478822291435,1
122,L47301,L,298.9,308.7,1558,41.2,110,0,64.18960000000001,7060.856000000002,9.800000000000011,0,4532.0,171380,0.3711711711711712,480954.6,1697.4400000000003,2427364,95295.68999999999,4.709530201312334,2
123,L47302,L,299.0,308.8,1310,50.7,112,0,66.417,7438.704,9.800000000000011,0,5678.400000000001,146720,0.44867256637168146,404528.0,2570.4900000000002,1716100,95357.44,4.727387818712341,2
124,L47303,L,298.9,308.7,1546,43.4,114,0,67.09639999999999,7648.989599999999,9.800000000000011,0,4947.599999999999,176244,0.3773913043478261,477250.19999999995,1883.56,2390116,95295.68999999999,4.74493212836325,2
125,L47304,L,298.9,308.7,1727,29.4,116,0,50.773799999999994,5889.760799999999,9.800000000000011,0,3410.3999999999996,200332,0.2512820512820513,533124.9,864.3599999999999,2982529,95295.68999999999,4.762173934797756,2
126,L47305,L,298.9,308.6,1560,32.2,118,0,50.232000000000006,5927.376000000001,9.700000000000045,0,3799.6000000000004,184080,0.2705882352941177,481416.00000000006,1036.8400000000001,2433600,95233.96000000002,4.77912349311153,2
127,L47306,L,299.0,308.6,1329,60.5,120,0,80.4045,9648.539999999999,9.600000000000023,0,7260.0,159480,0.5,410129.4,3660.25,1766241,95233.96000000002,4.795790545596741,2
128,L47307,L,298.9,308.6,1413,46.5,122,0,65.7045,8015.949,9.700000000000045,0,5673.0,172386,0.3780487804878049,436051.80000000005,2162.25,1996569,95233.96000000002,4.812184355372417,2
129,L47308,L,299.0,308.6,1587,38.6,124,0,61.2582,7596.0168,9.600000000000023,0,4786.400000000001,196788,0.3088,489748.2,1489.96,2518569,95233.96000000002,4.8283137373023015,2
130,L47309,L,298.9,308.5,1559,34.3,126,0,53.473699999999994,6737.686199999999,9.600000000000023,0,4321.799999999999,196434,0.2700787401574803,480951.5,1176.4899999999998,2430481,95172.25,4.844187086458591,2
131,L47310,L,298.8,308.4,1473,41.1,128,0,60.5403,7749.1584,9.599999999999966,0,5260.8,188544,0.3186046511627907,454273.19999999995,1689.21,2169729,95110.55999999998,4.859812404361672,2
132,L47311,L,298.8,308.4,1737,27.7,130,0,48.1149,6254.937,9.599999999999966,0,3601.0,225810,0.21145038167938932,535690.7999999999,767.29,3017169,95110.55999999998,4.875197323201151,2
133,M14992,M,298.7,308.4,1441,43.2,132,0,62.251200000000004,8217.1584,9.699999999999989,0,5702.400000000001,190212,0.324812030075188,444404.39999999997,1866.2400000000002,2076481,95110.55999999998,4.890349128221754,2
134,M14993,M,298.7,308.4,1430,49.6,135,0,70.928,9575.279999999999,9.699999999999989,0,6696.0,193050,0.3647058823529412,441011.99999999994,2460.1600000000003,2044900,95110.55999999998,4.912654885736052,2
135,L47314,L,298.8,308.4,1369,53.0,138,0,72.557,10012.866,9.599999999999966,0,7314.0,188922,0.381294964028777,422199.6,2809.0,1874161,95110.55999999998,4.9344739331306915,2
136,M14995,M,298.8,308.5,1711,28.5,140,0,48.7635,6826.89,9.699999999999989,0,3990.0,239540,0.20212765957446807,527843.5,812.25,2927521,95172.25,4.948759890378168,2
137,H29550,H,298.7,308.5,1420,45.7,143,0,64.894,9279.842,9.800000000000011,0,6535.1,203060,0.31736111111111115,438070.0,2088.4900000000002,2016400,95172.25,4.969813299576001,2
138,L47317,L,298.7,308.6,1297,55.3,148,0,71.72409999999999,10615.166799999999,9.900000000000034,0,8184.4,191956,0.3711409395973154,400254.2,3058.0899999999997,1682209,95233.96000000002,5.003946305945459,2
